"You have subscribed for recurring order from %store_name.","Olet tehnyt toistuvan tilauksen verkkokaupassamme."
"If you want to cancel your recurring order <a href="%account_url">log into your account</a>.", "Jos haluat peruutta toistuvan tilauksen <a href="%account_url">kirjaudu käyttäjätilillesi</a>."
"Should the recurring payment fail, we will add %warning_period days to your order, so that you can update your payment details.", "Jos automaattinen uusinta epäonnistuu, tilaukseesi lisätään x päivää lisäaikaa, jotta ehdit päivittää maksutietosi."
"Recurring payment stopped successfully","Tilaus pysäytettiin onnistuneesti"
"Can't add product with different payment schedule","Tuotetta ei voi lisätä eri maksuaikataululla"
"Recurring Payment","Toistuvat maksut"
"Recurring total","Toistuvat maksut yhteensä"
"Recurring payment purchases require using a saved card.","Toistuvat tilaukset vaativat tallennetun luottokortin maksuja varten"
"Subscription couldn't be canceled","Tilausta ei voitu peruuttaa"
"Subscription has been canceled correctly","Tilaus on peruutettu"
"Subscription is closed","Tilaus on suljettu"
"Subscription orders can't be shown","Tilaustilauksia ei voida näyttää"
"The subscription doesn't belong to the customer", "Tilaus ei kuulu asiakkaalle"
"The card has active subscriptions","Kortilla on aktiivisia tilauksia"
"My Subscriptions","Toistuvat tilaukseni"
